location,total_sqft,bath,balcony,bhk,price
Electronic City Phase II,1056.0,2.0,1.0,2,39.07
Chikka Tirupathi,2600.0,5.0,3.0,4,120.0
Uttarahalli,1440.0,2.0,3.0,3,62.0
Lingadheeranahalli,1521.0,3.0,1.0,3,95.0
Kothanur,1200.0,2.0,1.0,2,51.0
Whitefield,1170.0,2.0,1.0,2,38.0
Marathahalli,1310.0,3.0,1.0,3,63.25
Whitefield,1800.0,2.0,2.0,3,70.0
Whitefield,2785.0,5.0,3.0,4,295.0
7th Phase JP Nagar,1000.0,2.0,1.0,2,38.0
Gottigere,1100.0,2.0,2.0,2,40.0
Sarjapur,2250.0,3.0,2.0,3,148.0
Mysore Road,1175.0,2.0,2.0,2,73.5
Bisuvanahalli,1180.0,3.0,2.0,3,48.0
Raja Rajeshwari Nagar,1540.0,3.0,3.0,3,60.0
Ramakrishnappa Layout,2770.0,4.0,2.0,3,290.0
Manayata Tech Park,1100.0,2.0,2.0,2,48.0
Kengeri,600.0,1.0,1.0,1,15.0
Binny Pete,1755.0,3.0,1.0,3,122.0
Thanisandra,2800.0,5.0,2.0,4,380.0
Bellandur,1767.0,3.0,1.0,3,103.0
 Thanisandra,510.0,1.0,0.0,1,25.25
Mangammanapalya,1250.0,3.0,2.0,3,56.0
Electronic City,660.0,1.0,1.0,2,23.1
Whitefield,1610.0,3.0,2.0,3,81.0
Ramagondanahalli,1151.0,2.0,2.0,2,48.77
Electronic City,1025.0,2.0,1.0,3,47.0
Yelahanka,2475.0,4.0,0.0,4,186.0
Bisuvanahalli,1075.0,2.0,1.0,3,35.0
Hebbal,1760.0,2.0,2.0,3,123.0
Raja Rajeshwari Nagar,1693.0,3.0,3.0,3,57.39
Kanakpura Road,700.0,2.0,1.0,2,36.0
Electronics City Phase 1,1070.0,2.0,1.0,2,45.5
Kundalahalli,1724.0,3.0,2.0,3,125.0
Chikkalasandra,1290.0,2.0,2.0,3,56.12
Uttarahalli,1143.0,2.0,2.0,2,45.0
Sarjapur  Road,1254.0,3.0,2.0,3,38.0
Ganga Nagar,600.0,1.0,0.0,1,38.0
Yelahanka,660.0,1.0,0.0,1,48.0
Kanakpura Road,1330.74,2.0,2.0,2,91.79
Doddathoguru,970.0,2.0,0.0,2,33.0
Whitefield,1459.0,2.0,1.0,2,94.82
KR Puram,800.0,1.0,1.0,2,130.0
Himagiri Meadows,869.0,2.0,1.0,2,36.0
Adarsh Nagar,1270.0,2.0,1.0,2,50.0
Bhoganhalli,1670.0,3.0,1.0,3,99.0
Whitefield,2010.0,3.0,2.0,3,91.0
Lakshminarayana Pura,1185.0,2.0,2.0,2,75.0
Yelahanka,1600.0,2.0,3.0,3,75.0
Begur Road,1200.0,2.0,2.0,2,44.0
